iter	Passed	Remaining
0	0	80
1	1	74
2	2	70
3	3	76
4	4	82
5	5	86
6	6	88
7	7	91
8	8	89
9	9	89
10	11	92
11	12	92
12	14	94
13	15	95
14	16	94
15	17	94
16	19	92
17	20	92
18	21	91
19	22	89
20	23	88
21	24	87
22	25	86
23	26	85
24	27	83
25	28	81
26	29	80
27	30	79
28	31	78
29	33	77
30	34	76
31	35	74
32	36	73
33	37	72
34	38	71
35	39	69
36	40	69
37	42	68
38	42	67
39	44	66
40	45	65
41	45	63
42	47	62
43	48	61
44	49	60
45	50	59
46	51	57
47	52	56
48	53	55
49	54	54
50	56	54
51	57	52
52	58	52
53	60	51
54	61	50
55	63	49
56	64	48
57	65	47
58	67	46
59	68	45
60	69	44
61	71	43
62	72	42
63	74	41
64	76	40
65	77	39
66	78	38
67	79	37
68	81	36
69	82	35
70	84	34
71	85	33
72	87	32
73	88	31
74	89	29
75	90	28
76	92	27
77	93	26
78	94	25
79	96	24
80	97	22
81	99	21
82	100	20
83	101	19
84	102	18
85	104	17
86	105	15
87	107	14
88	108	13
89	109	12
90	111	11
91	112	9
92	114	8
93	115	7
94	116	6
95	118	4
96	119	3
97	121	2
98	122	1
99	123	0
